                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.69474,                 1.9515,                  1.281,                0.93483,                0.75046,                0.85365,                 0.7335,                0.60005,                 2.1018,                  1.284,              0.0032975,              0.0032975,              0.0032975
                      2,                 0.6077,                0.99008,                 1.1841,                0.96513,                0.83626,                0.86888,                0.72816,                0.69743,                 1.1005,                 1.5508,              0.0066177,              0.0066177,              0.0066177
                      3,                 0.6602,                 0.8662,                 1.2012,                0.94538,                0.86751,                0.91299,                0.70733,                0.81933,                 1.1107,                 1.7094,              0.0099247,              0.0099247,              0.0099247
                      4,                0.68191,                0.78054,                  1.201,                0.96259,                 0.8431,                0.91791,                0.77063,                0.64831,                0.82803,                 1.3766,              0.0099406,              0.0099406,              0.0099406
                      5,                0.65391,                0.66862,                 1.1965,                0.93203,                0.84511,                0.93123,                0.77536,                0.70505,                0.69876,                 1.3761,              0.0099406,              0.0099406,              0.0099406
                      6,                0.65552,                0.63649,                 1.1909,                0.84005,                0.68146,                0.83746,                0.68684,                0.70778,                 1.1284,                 1.3347,              0.0099208,              0.0099208,              0.0099208
                      7,                0.63457,                0.57605,                  1.175,                0.91893,                 0.8668,                0.94129,                0.79142,                0.63719,                0.61277,                 1.3713,               0.009901,               0.009901,               0.009901
                      8,                0.63874,                0.55362,                 1.1737,                0.95804,                0.87217,                0.93975,                0.79984,                0.61765,                0.54827,                 1.2656,              0.0098812,              0.0098812,              0.0098812
                      9,                0.62017,                0.53261,                 1.1662,                0.97903,                0.84974,                0.92523,                 0.8086,                0.57215,                0.50178,                  1.223,              0.0098614,              0.0098614,              0.0098614
                     10,                0.61753,                0.51416,                 1.1679,                0.98796,                 0.8398,                0.93588,                0.80833,                0.57221,                0.47908,                 1.2211,              0.0098416,              0.0098416,              0.0098416
                     11,                0.60356,                0.48749,                 1.1586,                 0.9245,                0.90446,                0.94246,                0.80529,                0.59156,                0.48361,                 1.2407,              0.0098218,              0.0098218,              0.0098218
                     12,                0.60489,                0.47647,                 1.1553,                0.91354,                0.81609,                0.89926,                0.77833,                0.56227,                0.61425,                 1.2204,               0.009802,               0.009802,               0.009802
                     13,                0.59838,                0.47936,                 1.1514,                 0.9813,                 0.8756,                0.95097,                 0.8408,                0.53605,                 0.4566,                 1.1577,              0.0097822,              0.0097822,              0.0097822
                     14,                0.57057,                0.44182,                 1.1298,                0.99674,                 0.8345,                0.92784,                0.81491,                 0.5656,                0.45496,                 1.1748,              0.0097624,              0.0097624,              0.0097624
                     15,                0.58522,                0.45073,                 1.1488,                0.98992,                0.86571,                0.92281,                0.82005,                0.56752,                0.46839,                 1.2018,              0.0097426,              0.0097426,              0.0097426
                     16,                 0.5795,                0.44994,                 1.1464,                0.92986,                0.88796,                0.94701,                0.82637,                 0.5652,                0.47578,                 1.1843,              0.0097228,              0.0097228,              0.0097228
                     17,                0.57124,                0.43836,                 1.1379,                 0.9878,                 0.8597,                0.94813,                0.82335,                0.57305,                0.44625,                 1.1832,               0.009703,               0.009703,               0.009703
                     18,                0.56904,                0.43129,                  1.138,                0.97169,                0.82286,                0.91532,                0.80405,                0.58194,                0.54854,                 1.2158,              0.0096832,              0.0096832,              0.0096832
                     19,                0.57746,                0.43979,                 1.1438,                0.96498,                0.90476,                 0.9551,                0.85063,                0.49387,                0.37511,                 1.0993,              0.0096634,              0.0096634,              0.0096634
                     20,                0.55665,                 0.4122,                 1.1263,                 0.9461,                0.88104,                0.94573,                0.83938,                0.51172,                0.39418,                 1.1461,              0.0096436,              0.0096436,              0.0096436
                     21,                0.56391,                 0.4228,                 1.1305,                0.93186,                0.92325,                0.96017,                0.83811,                0.55578,                0.42082,                 1.1988,              0.0096238,              0.0096238,              0.0096238
                     22,                0.54679,                0.40617,                 1.1235,                0.96309,                0.89126,                0.96444,                0.85647,                0.50745,                0.39459,                 1.1502,               0.009604,               0.009604,               0.009604
                     23,                0.55431,                0.40707,                 1.1226,                0.96738,                0.88522,                0.93902,                0.83178,                0.53927,                0.43158,                 1.1837,              0.0095842,              0.0095842,              0.0095842
                     24,                0.54409,                 0.3941,                 1.1168,                0.92456,                 0.9039,                0.94126,                0.83079,                0.52335,                0.41795,                 1.1574,              0.0095644,              0.0095644,              0.0095644
                     25,                0.53756,                0.38657,                  1.125,                0.97448,                0.89984,                0.95227,                0.85243,                0.52943,                0.39205,                  1.171,              0.0095446,              0.0095446,              0.0095446
                     26,                0.54259,                0.38298,                 1.1177,                0.95501,                0.89042,                0.95939,                0.85265,                0.51084,                0.39539,                 1.1367,              0.0095248,              0.0095248,              0.0095248
                     27,                0.55514,                0.40157,                 1.1234,                0.94882,                0.93557,                0.97018,                0.86735,                0.49809,                 0.3725,                 1.1212,               0.009505,               0.009505,               0.009505
                     28,                0.54076,                0.38546,                 1.1208,                0.96195,                0.93492,                0.97208,                0.85053,                0.53583,                0.34461,                 1.1707,              0.0094852,              0.0094852,              0.0094852
                     29,                0.53649,                0.37532,                 1.1164,                0.92837,                0.90398,                0.96021,                0.84843,                0.53009,                0.38947,                 1.1573,              0.0094654,              0.0094654,              0.0094654
                     30,                0.52455,                 0.3791,                 1.1167,                 0.9487,                0.90466,                0.95868,                0.85187,                0.52958,                  0.384,                 1.1697,              0.0094456,              0.0094456,              0.0094456
                     31,                0.52968,                0.37785,                 1.1146,                0.95936,                0.91224,                0.96138,                 0.8501,                0.52364,                0.36171,                 1.1641,              0.0094258,              0.0094258,              0.0094258
                     32,                0.52053,                0.37032,                  1.102,                0.94729,                0.90876,                0.94275,                0.84078,                 0.5645,                0.38533,                 1.2293,               0.009406,               0.009406,               0.009406
                     33,                0.53734,                0.38209,                 1.1117,                 0.9503,                0.92341,                0.96566,                0.85864,                0.50642,                0.36553,                 1.1198,              0.0093862,              0.0093862,              0.0093862
                     34,                0.51819,                0.36091,                 1.1066,                0.95876,                0.92832,                 0.9732,                0.84534,                0.57195,                0.42958,                 1.2065,              0.0093664,              0.0093664,              0.0093664
                     35,                0.51593,                0.35878,                 1.1013,                0.97446,                 0.8912,                0.95912,                0.86135,                0.50632,                 0.3535,                 1.1262,              0.0093466,              0.0093466,              0.0093466
                     36,                0.52411,                0.36047,                 1.1065,                0.95707,                 0.9152,                0.97033,                0.84636,                 0.5393,                0.37608,                 1.1749,              0.0093268,              0.0093268,              0.0093268
                     37,                0.51304,                 0.3526,                 1.1032,                0.96998,                0.87117,                0.96756,                0.85115,                0.50774,                0.38179,                 1.1179,               0.009307,               0.009307,               0.009307
                     38,                0.50425,                0.35638,                 1.0906,                0.97479,                0.88669,                0.95089,                0.84278,                0.52428,                0.37582,                 1.1432,              0.0092872,              0.0092872,              0.0092872
                     39,                0.52871,                0.36232,                 1.1095,                0.94913,                0.89482,                0.94853,                0.81926,                0.56412,                0.40561,                 1.2301,              0.0092674,              0.0092674,              0.0092674
                     40,                 0.5099,                0.35845,                 1.1053,                0.96464,                0.91372,                0.96391,                0.85523,                 0.4938,                0.34924,                   1.11,              0.0092476,              0.0092476,              0.0092476
                     41,                 0.5086,                0.35473,                 1.0961,                0.97082,                0.90494,                0.95312,                0.84181,                0.51479,                0.37941,                 1.1434,              0.0092278,              0.0092278,              0.0092278
                     42,                0.52311,                 0.3598,                 1.0975,                0.96091,                 0.9071,                 0.9586,                0.84328,                0.51703,                0.36897,                  1.137,               0.009208,               0.009208,               0.009208
                     43,                0.50242,                0.34334,                 1.0906,                0.96077,                0.91774,                0.96191,                0.85719,                0.50175,                0.35697,                 1.1179,              0.0091882,              0.0091882,              0.0091882
                     44,                0.50795,                0.34967,                  1.102,                0.97274,                0.87926,                0.96205,                0.86034,                 0.4975,                 0.3548,                 1.1039,              0.0091684,              0.0091684,              0.0091684
                     45,                0.51669,                 0.3634,                 1.1142,                0.98869,                0.85889,                0.94316,                0.84554,                0.52103,                0.39367,                 1.1549,              0.0091486,              0.0091486,              0.0091486
                     46,                0.51236,                0.34949,                 1.0993,                0.95068,                0.91846,                0.95891,                0.86416,                0.48326,                 0.3479,                 1.0921,              0.0091288,              0.0091288,              0.0091288
                     47,                0.50959,                0.34369,                 1.0981,                0.97351,                0.89709,                0.96266,                0.84326,                 0.5026,                0.38438,                 1.1489,               0.009109,               0.009109,               0.009109
                     48,                0.49604,                0.34123,                  1.093,                0.98254,                0.89977,                0.95436,                0.85344,                0.51102,                0.35595,                 1.1288,              0.0090892,              0.0090892,              0.0090892
                     49,                0.51858,                  0.352,                 1.1027,                0.97405,                0.90655,                0.96787,                0.85606,                0.53551,                0.36224,                 1.1544,              0.0090694,              0.0090694,              0.0090694
                     50,                0.49903,                0.33496,                 1.0884,                0.97142,                0.90753,                0.96692,                0.86724,                0.50929,                0.33895,                 1.1324,              0.0090496,              0.0090496,              0.0090496
                     51,                 0.4966,                0.33284,                 1.0966,                0.98475,                0.92362,                0.96495,                0.86311,                0.49774,                0.34535,                   1.14,              0.0090298,              0.0090298,              0.0090298
                     52,                 0.4854,                0.33231,                 1.0869,                0.96305,                0.92377,                0.96372,                0.86048,                0.51652,                0.35666,                 1.1373,                0.00901,                0.00901,                0.00901
                     53,                0.48848,                0.32617,                 1.0951,                0.96218,                 0.9282,                 0.9737,                0.86612,                0.47115,                0.31892,                 1.0867,              0.0089902,              0.0089902,              0.0089902
