                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.66827,                 1.8348,                 1.2897,                0.95592,                 0.9354,                0.97321,                0.87815,                0.45378,                0.34067,                  1.053,              0.0032975,              0.0032975,              0.0032975
                      2,                0.53806,                0.46104,                 1.1547,                0.94743,                 0.9286,                0.98208,                0.89912,                0.43083,                0.29373,                 1.0275,              0.0066177,              0.0066177,              0.0066177
                      3,                0.52699,                0.39443,                 1.1239,                0.94536,                0.95286,                0.98289,                0.88802,                0.46312,                 0.3059,                 1.0581,              0.0099247,              0.0099247,              0.0099247
                      4,                0.53452,                 0.3965,                  1.119,                0.95068,                0.92672,                0.98214,                 0.8948,                0.44903,                0.29754,                 1.0632,              0.0099406,              0.0099406,              0.0099406
                      5,                 0.5197,                0.37219,                 1.1158,                0.98302,                0.91687,                0.98254,                0.88949,                0.44713,                0.31422,                 1.0565,              0.0099406,              0.0099406,              0.0099406
                      6,                 0.5231,                0.38052,                 1.1162,                0.95741,                0.95294,                0.98381,                0.88599,                0.45838,                0.30279,                 1.0774,              0.0099208,              0.0099208,              0.0099208
                      7,                0.51161,                0.35952,                 1.1037,                 0.9553,                 0.9288,                0.97123,                0.87839,                0.44229,                0.32629,                  1.067,               0.009901,               0.009901,               0.009901
                      8,                 0.5151,                0.36139,                  1.111,                0.92636,                0.96265,                0.98402,                0.89789,                0.44549,                0.28922,                  1.051,              0.0098812,              0.0098812,              0.0098812
                      9,                0.50299,                0.35757,                 1.1005,                0.94009,                0.94339,                0.97851,                0.88962,                0.46353,                 0.3149,                 1.0827,              0.0098614,              0.0098614,              0.0098614
                     10,                0.50939,                0.35563,                  1.109,                0.96321,                 0.9357,                0.98474,                0.89688,                0.44657,                0.27816,                 1.0782,              0.0098416,              0.0098416,              0.0098416
                     11,                0.50472,                0.34021,                 1.1069,                 0.9733,                0.91546,                0.97975,                 0.8854,                0.48612,                0.33585,                 1.0891,              0.0098218,              0.0098218,              0.0098218
                     12,                0.50685,                0.34048,                 1.1067,                0.92282,                0.94613,                0.97736,                0.88781,                0.45705,                0.32701,                 1.0878,               0.009802,               0.009802,               0.009802
                     13,                0.49037,                0.33574,                 1.0947,                 0.9487,                0.94759,                0.98355,                0.87797,                0.48279,                0.30512,                 1.0938,              0.0097822,              0.0097822,              0.0097822
                     14,                0.47978,                0.32517,                 1.0852,                0.97978,                0.91143,                0.97435,                0.89053,                0.45399,                0.30654,                 1.0807,              0.0097624,              0.0097624,              0.0097624
